id,Country,1990 - 1994,1995 - 1999,2000 - 2004,2005 - 2009,2010 - 2014
1,Argentina,83.6,86.6,90.2,92.4,88.9
2,Australia,N/A,90.2,N/A,93.7,92.5
3,Belarus,N/A,83.8,N/A,N/A,88.3
4,Brazil,90.4,N/A,N/A,86.4,87.4
5,Czech Rep.,N/A,90.8,N/A,N/A,N/A
6,Chile,85.1,88.8,96.4,90.2,91.7
7,China,62,76.5,60.2,78.1,85.7
8,Estonia,N/A,77.7,N/A,N/A,88
9,Finland,N/A,80.4,N/A,86.7,N/A
10,Georgia,N/A,94.6,N/A,98.7,98.4
11,Hungary,N/A,89.4,N/A,86.4,N/A
12,India,76.8,90.8,91.9,90.1,94.9
13,Japan,77.3,89.8,91.3,91.3,90.8
14,Mexico,84.6,74.3,96.6,94.9,97.6
15,Nigeria,N/A,N/A,N/A,N/A,N/A
16,Norway,N/A,87.8,N/A,90,N/A
17,Pakistan,N/A,80.8,92.6,N/A,94
18,Peru,N/A,87,82.4,82.4,81.4,85.3
19,Poland,90.3,89.7,N/A,93.6,92.1
20,Russia,77.4,83.7,N/A,89,85
21,Slovakia,N/A,90.9,N/A,N/A,N/A
22,South Africa,89.3,93.1,95.2,95.6,92.5
23,South Korea,92.7,N/A,N/A,N/A,N/A
24,Spain,N/A,81.8,85.4,88.9,91.1
25,Switzerland,N/A,80.9,N/A,85.5,N/A
26,Sweden,N/A,90.2,89.4,92.1,89.2
27,Turkey,87.7,96.6,97.3,97.7,95.4
28,Ukraine,N/A,85.7,N/A,86.8,92
29,United States,55.2,95.2,95.3,94.2,90.9
30,Venezuela,N/A,97.9,97.8,N/A,N/A
