id,Country,1990 - 1994,1995 - 1999,2000 - 2004,2005 - 2009,2010 - 2014
1,Argentina,32.4,28.8,33,32.4,33.3
2,Australia,N/A,42.8,N/A,35.2,34.9
3,Belarus,6.1,4.2,N/A,N/A,10.6
4,Brazil, 21,N/A,N/A,34,35.2
5,Czech Rep.,5.8,8.9,N/A,N/A,N/A
6,Chile,33.1,27,36,30.5,24.4
7,China,27.5,22.7,11.5,18.8,15.7
8,Estonia,N/A,4.6,N/A,N/A,12.7
9,Finland,N/A,23.7,N/A,29.5,N/A
10,Georgia,N/A,11.6,N/A,12.1,21.5
11,Hungary,N/A,13.5,N/A,17.1,N/A
12,India,23.8,29.9,25.3,28.9,37.4
13,Japan,16.9,32.5,27.8,28.4,32.3
14,Mexico,25.3,31.5,56.5,58.3,N/A
15,Nigeria,39.5,46.2,66.8,N/A,55.6,
16,Norway,N/A,29.9,N/A,36.6,N/A
17,Pakistan,N/A,27.9,19.6,N/A,45.6
18,Peru,N/A,28.2,30.8,27.9,35.1
19,Poland,9.7,18.3,N/A,21.3,22.2
20,Russia,5.3,6.1,N/A,10.5,14.8
21,Slovakia,3.9,6.6,N/A,N/A,N/A
22,South Africa,23.6,35.3,38.5,42.7,39.3
23,South Korea,9.9,11.9,N/A,12.9,15.2
24,Spain,20,18.7,20.1,13.6,15.5
25,Switzerland,35.4,39.8,N/A,42,N/A
26,Sweden,N/A,39.2,36.6,43,40.5
27,Turkey,29.3,51,34.5,37,37.5
28,Ukraine,N/A,4.9,N/A,11.3,16.1
29,United States,N/A,46.3,39,34.4,36.1
30,Venezuela,N/A,54.4,56.8,N/A,N/A
