id,Country,1990 - 1994,1995 - 1999,2000 - 2004,2005 - 2009,2010 - 2014
1,Argentina,14.9,10.1,8.9,8.4,8.3
2,Australia,N/A,15,N/A,9.6,7.8
3,Belarus,13.6,9.8,N/A,N/A,8
4,Brazil, 19.1,N/A,N/A,14.6,12.5
5,Czech Rep.,10.3,3.2,N/A,N/A,N/A
6,Chile,13.8,6.9,9.1,5.6,7.4
7,China,28.7,23.7,15.1,13.3,10.4
8,Estonia,N/A,4.6,N/A,N/A,5.5
9,Finland,N/A,3.1,N/A,2.6,N/A
10,Georgia,N/A,13.2,N/A,19,10.2
11,Hungary,N/A,6.6,N/A,8.7,N/A
12,India,12.7,10.9,17.9,14.4,17
13,Japan,13,18.3,20.3,19.7,23.5
14,Mexico,11.3,17.2,17.9,19.7,17
15,Nigeria,19.8,21.4,27.7,N/A,21
16,Norway,N/A,6,N/A,9.9,N/A
17,Pakistan,N/A,7.7,5.2,N/A,N/A
18,Peru,N/A,13.1,20.6,11,12.7
19,Poland,12,6.9,N/A,5.2,5.3
20,Russia,11,8.1,N/A,7.9,6.9
21,Slovakia,7.1,3.7,N/A,N/A,N/A
22,South Africa,24.7,18.7,20.4,21.7,21.4
23,South Korea,30.6,19.2,15,17.9,N/A
24,Spain,N/A,7.8,7.3,7.6,5.9
25,Switzerland,10.6,6.4,N/A,12.4,N/A
26,Sweden,N/A,11,11.4,15.5,17.3
27,Turkey,11.1,24.2,16.3,12.7,16.1
28,Ukraine,N/A,6.4,N/A,8.9,7.4
29,United States,N/A,17.8,15.7,10.8,11.2
30,Venezuela,N/A,12.7,15.6,N/A,N/A
