id,Country,1990 - 1994,1995 - 1999,2000 - 2004,2005 - 2009,2010 - 2014
1,Argentina,39.7,34.9,46.3,33.1,24.1
2,Australia,N/A,23.1,N/A,19.2,14.1
3,Belarus,11.3,20,N/A,N/A,15.9
4,Brazil,56.9,N/A,N/A,50.5,51.1
5,Czech Rep.,7.5,9,N/A,N/A,N/A
6,Chile,51.1,41.8,46.3,39.6,23.8
7,China,1.4,3.9,2.5,5,2.6
8,Estonia,N/A,7.9,N/A,N/A,7.6
9,Finland,N/A,13.3,N/A,17.6,N/A
10,Georgia,N/A,49.3,N/A,N/A,84.9
11,Hungary,N/A,21.5,N/A,17.1,N/A
12,India,49.2,48.2,55.8,49.7,67.1
13,Japan,4.9,6.4,6.4,5.7,5.4
14,Mexico,33.8,45.4,67.7,58.7,58.4
15,Nigeria,84.8,91.5,92.8,N/A,89.8
16,Norway,N/A,12.1,N/A,10.5,N/A
17,Pakistan,N/A,80.5,81.8,N/A,N/A
18,Peru,N/A,53.3,52.5,49.1,49.9
19,Poland,33.3,46.4,N/A,47.2,45.7
20,Russia,11.1,14,N/A,13.1,14.3
21,Slovakia,18.9,23.7,N/A,N/A,N/A
22,South Africa,65.4,67.8,69.7,69.9,55.8
23,South Korea,N/A,N/A,N/A,N/A,N/A
24,Spain,19.6,25.2,21.9,14.8,10.7
25,Switzerland,23.1,14.3,N/A,17.2,N/A
26,Sweden,N/A,9.5,10.6,9.3,7.9
27,Turkey,N/A,83.3,80.3,74.6,68.1
28,Ukraine,N/A,19.1,N/A,N/A,26.3
29,United States,N/A,55.9,56.9,47,40.4
30,Venezuela,N/A,61.1,63.8,N/A,N/A
