id,Country,1990 - 1994,1995 - 1999,2000 - 2004,2005 - 2009,2010 - 2014
1,Argentina,17.3,17.7,21.6,22.5,10.5
2,Australia,N/A,14.7,N/A,8.1,10.5
3,Belarus,5.5,1.7,N/A,N/A,3.8
4,Brazil,28.2,N/A,N/A,24.3,33.4
5,Czech Rep.,6.4,4.9,N/A,N/A,N/A,
6,Chile,27.3,14.9,19.2,15.1,11.1
7,China,16.5,16.5,14.1,14.3,7.8
8,Estonia,N/A,2.5,N/A,N/A,4
9,Finland,N/A,9.1,N/A,9.6,N/A
10,Georgia,N/A,4.6,N/A,4.3,7.7
11,Hungary,N/A,7.2,N/A,4.3,N/A
12,India,14.8,14.3,9.4,15.8,3.1
13,Japan,3.3,5.2,4.6,4.6,7.9
14,Mexico,16.5,23.5,43.6,34,43.5
15,Nigeria,16.7,15.8,12.2,N/A,7.8
16,Norway,N/A,16.2,N/A,N/A,N/A
17,Pakistan,N/A,N/A,0,N/A,20.3
18,Peru,N/A,14.8,14.7,18.8,20.8
19,Poland,11.9,13.9,N/A,12.6,10.2
20,Russia,6.4,7.3,N/A,8.7,6.6
21,Slovakia,7.7,4.8,N/A,N/A,N/A
22,South Africa,15.8,11.5,14.1,17.4,10.4
23,South Korea,9.8,N/A,8.7,3.6,4.3
24,Spain,12.6,8.1,10.2,5.8,5.8
25,Switzerland,37.8,25.2,N/A,17.1,N/A
26,Sweden,N/A,17.3,16.3,11.6,11.7,N/A
27,Turkey,16,18.3,13,20.6,14
28,Ukraine,N/A,2.1,N/A,4.2,6.8
29,United States,N/A,18.5,15.9,6.7,9.3
30,Venezuela,N/A,26.5,N/A,N/A,N/A
